Column1,Votes,Car,1/4 mile ET,1/4 mile MPH
1),296,Chevrolet Monte Carlo,11.784,112.42
2),288,Suzuki GSX-R,10.09,129
3),288,Pontiac Trans Am,11.91,111.94
4),280,Chevrolet Corvette,12.693,114.88
5),280,Jeep Cherokee,15.809,89.44
6),271,Dodge Neon SRT-4,13.771,101.2
7),254,Chevrolet Camaro,7.47,179
8),251,Volkswagen Beetle,11.88,108.97
9),250,Dodge Neon SRT-4,10.269,144.76
10),250,Chevrolet Camaro,10.5,126.9
11),250,Mitsubishi Lancer EVO,9.669,148
12),249,Subaru Impreza,8.881,154.09
13),245,Subaru Impreza,11.81,119.97
14),240,Oldsmobile Cutlass Supreme,9.85,135
15),238,Honda Civic,12.769,106.606
16),236,Volkswagen Beetle,12.85,95.59
17),235,Pontiac GTO,0,0
18),232,Ford Escort,11.72,122.67
19),229,Mercedes-Benz CL65 AMG,11.51,120.2
20),223,Chevrolet Corvette,12.81,112.11
21),219,Maserati Spyder,12.657,111.992
22),218,Ford Focus,11.462,123.48
23),201,Toyota Corolla,9.63,139.5
24),197,Mercury Marauder,11.986,115.91
25),193,Ford Escort,9.423,144.85
26),192,Chevrolet Corvette,13.486,101.11
27),186,Chevrolet Corvette,11.345,124.51
28),183,Lincoln Continental,15.51,89.1
29),178,Chevrolet Corvette,11.053,120.66
30),172,Mercedes-Benz C55 AMG,11.997,117.79
31),170,Chevrolet Corvette,11.338,123.96
32),169,Chevrolet Corvette,11.364,119.69
33),166,Ford Mustang,12.85,116.97
34),163,Chevrolet Camaro,10.49,127.3
35),161,Ford Crown Victoria,12.955,103.73
36),159,Chevrolet Bel Air,11.385,118.66
37),159,Subaru Forester,13.224,106.15
38),151,Chevrolet Corvette,11.56,130.39
39),151,Nissan 200SX,7.969,171.56
40),149,Mazda MX6,15.228,90.86
41),147,Subaru Impreza,16.31,87.86
42),145,Mitsubishi Lancer EVO,11.393,120.57
43),142,BMW 650i,11.725,118
44),142,Acura Integra,13.306,103.24
45),141,Dodge Dart,13.903,104.232
46),140,Chevrolet Corvette,11.939,114.86
47),139,Chevrolet Corvette,12.89,110.21
48),137,Chevrolet Corvette,0,0
49),137,Dodge Dakota,10.61,127.3
50),135,Audi S4,10.734,132.76
51),134,Holden HSV,14.062,99.54
52),133,Mitsubishi Eclipse,11.206,124.6
53),133,BMW 318i,10.297,132.6
54),133,Chevrolet TrailBlazer,13.519,100.52
55),130,Dodge Viper,7.19,185.78
56),130,Honda Prelude,15.612,88.25
57),129,Chevrolet Corvette,12.995,107.65
58),129,Bugatti Veron,10.41,139.1
59),128,Chevrolet Corvette,12.21,122.21
60),127,Ford Escort,8.59,157.41
61),126,Ford Mustang,10.979,122.09
62),126,Suzuki Swift,14.205,105.09
63),125,Dodge Viper,8.78,154.1
64),124,Chevrolet Camaro,12.281,109.72
65),121,Honda Civic CRX,11.331,126.4
66),120,Chevrolet Corvette,10.025,135.46
67),119,Mitsubishi Lancer EVO,9.5,152
68),118,Honda Civic,13.989,97.98
69),116,Subaru Outback,14.014,97.34
70),116,Mercedes-Benz C63 AMG,11.15,125.389
71),115,Mitsubishi Lancer EVO,8.23,179
72),112,Subaru B9 Tribeca,16.81,83.81
73),110,Subaru Legacy,13.4,101.1
74),109,Chevrolet Corvette,12.7,116.35
75),107,Chevrolet Malibu,11.47,117.23
76),105,Mitsubishi 3000GT,10.416,138.76
77),105,Chevrolet Corvette,13.021,111.32
78),105,Hummer H2,0,0
79),104,Mitsubishi Lancer EVO,11.56,117
80),104,Mitsubishi Eclipse,11.465,122.19
81),104,Mercedes-Benz CL65 AMG,11.209,123.7
82),101,Chevrolet Chevy,10.7,124.53
83),101,Subaru Outback,15.61,92.01
84),98,Chevrolet Corvette,0,0
85),95,Honda Prelude,13.88,101.39
86),95,Chevrolet Corvette,0,0
87),94,Dodge Neon SRT-4,12.655,112.11
88),93,Chevrolet Corvette,9.75,144
89),93,Chevrolet Corvette,8.898,156.28
90),92,Mercedes-Benz E320,15.053,92.37
91),89,Volkswagen Golf R32,11.71,119.21
92),89,Ford Taurus,11.542,119.49
93),89,Chevrolet Chevette,11.99,114
94),89,BMW 2002,8.58,156.592
95),89,Chevrolet Chevelle,9.02,147.36
96),87,Saab 900,10.41,142.8
97),87,Nissan 350Z,11.937,123.821
98),87,Pontiac Fiero,11.27,106.51
99),86,Holden HSV,11.5,135
100),85,Nissan 300ZX,9.87,143
