OBJECTID,NAME,2019 Median HH Income,2019 Avg HH Income
1,A Mountain,39293,47471
2,Adelanto,33635,41101
3,Alvernon Heights,29762,38963
4,Amphi,20213,31338
5,Armory Park,36870,62259
6,Arroyo Chico,40806,56684
7,Avondale,27928,46108
8,Balboa Heights,16547,25781
9,Barrio Anita,40183,57094
10,Barrio Blue Moon,13231,25374
11,Barrio Centro,43282,53683
12,Barrio Hollywood,32736,41817
13,Barrio San Antonio,54409,80530
14,Barrio Santa Rosa,35802,48871
15,Barrio Viejo,45094,72257
16,Bear Canyon,75470,101602
17,Blenman-Elm,57765,78823
18,Broadmoor-Broadway,47128,84485
19,Broadway/Northeast,61502,78153
20,Campbell-Grant,43473,61539
21,Campus Farm,31169,46793
22,Catalina Vista,77802,109509
23,Catalina Vista/Blenman-Elm,115281,143240
24,Houghton South,83642,93673
25,Colonia Del Valle,56868,67424
26,Corbett,36153,45040
27,Cottonwood Manor,37460,52423
28,Desert Palms Park,86459,90939
29,Dietz,44226,54719
30,Dodge Flower,25336,40837
31,Doolen-Fruitvale,35976,47324
32,Drexel Park,25130,36438
33,Duffy,30128,51721
34,Dunbar Spring,25821,47871
35,Eastside,82313,97669
36,El Gheko,58044,76545
37,El Conquistador,78219,103551
38,El Cortez,29665,41951
39,El Montevideo,103046,148479
40,El Presidio,31883,44472
41,El Rio Acres,35833,45732
42,Elvira,50687,55466
43,Enchanted Hills,40802,50563
44,Flowing Wells,30668,42891
45,Glenn Heights,61873,78959
46,Country Glenn,43909,59488
47,Groves Lincoln Park,51979,63009
48,Harlan Heights,38410,55469
49,Old Spanish Trail,70483,74331
50,Hedrick Acres,27684,37377
51,Highland Vista Cinco Via,79464,87235
52,Houghton East,93335,117362
53,Iron Horse,19198,40996
54,Ironwood Ridge,57069,73520
55,Jefferson Park,37877,53783
56,Julia Keen,40916,51459
57,Keeling,22395,30903
58,La Madera,45413,61690
59,Lakeside Park,50119,56425
60,Las Vistas,32250,39539
61,Limberlost,33304,45920
62,Garden District,33611,44417
63,Midvale Park,42660,52445
64,Miracle Manor,24176,32822
65,Miramonte,29962,51823
66,Mitman,42220,60066
67,Mortimore,51271,58408
68,Mountain First Avenue,39075,63019
69,Mountain View,37688,52180
70,Myers,27017,36398
71,Naylor,28934,34383
72,North Dodge,20567,32433
73,North University,20807,39358
74,Oak Flower,27498,36590
75,Old Fort Lowell,71981,101010
76,Palo Verde,33659,50281
77,Panorama Estates,48081,55912
78,Westside Development,64060,74133
79,Parkway Terrace,51224,54317
80,Peter Howell,63943,76951
81,Pie Allen,27001,39031
82,Poets Square,67038,79560
83,RillitoBend,39730,50627
84,Pueblo Gardens,31535,38628
85,Richland Heights East,43407,69426
86,Richland Heights West,46935,72125
87,Rillito,67457,92511
88,Rincon Heights,21863,34818
89,Rita Ranch,89700,100163
90,Roberts,25171,37772
91,Rose,33367,39634
92,Rosemont West,51040,61017
93,Saguaro Miraflores,83687,97215
94,Sam Hughes,55776,89106
95,Samos,39884,69494
96,San Carlos,40633,56204
97,San Clemente,86725,90724
98,San Gabriel,42280,61432
99,San Ignacio Yaqui,19507,32484
100,Santa Cruz Southwest,36534,47706
101,Santa Rita Park - West Ochoa,35631,45312
102,Sewell,36911,63613
103,South Harrison,61376,78564
104,South Park,30966,40226
105,Cabrini,37715,44967
106,Starr Pass,72693,100479
107,Stella Mann,41429,49567
108,Sunnyside,33040,42907
109,Sunset Villa,30140,40006
110,Swan Way Park,40577,56424
111,Terra Del Sol,49048,60307
112,Thunderbird Heights/Wilmot Desert Esta,47922,72660
113,Tucson Park West #1,27095,37639
114,Vista Del Monte,43715,58034
115,Wakefield,31896,40608
116,West University,25427,45235
117,Western Hills II,36277,50347
118,Wilshire Heights,59568,79559
119,Rancho Perdido Estates,51410,75061
120,Mesquite Ranch,83565,93673
121,Desert Aire/Loma Linda,57228,67111
122,Millville,41932,59624
123,Sombras Del Cerro,0,0
124,Rancho Buena,37502,49901
125,Rosemont East,71881,108044
126,Udall Park,54801,62454
127,Menlo Park,30689,42149
128,Silverbell Terrace,50000,58391
129,Broadway Pantano East,39611,51846
130,Miles,20993,36746
131,Sierra Estates,26937,35689
132,Silvercroft,37595,49834
133,Brichta,58787,73177
134,Cherry Avenue,40610,49646
135,Fairgrounds,22203,29169
136,Bravo Park Lane,35285,42465
137,Feldman`s,19261,32367
138,Sugar Hill,35709,45263
139,Toumey Park,26754,38674
140,El Encanto Estates,61439,105370
141,Colonia Solana,103357,147579
142,Winterhaven,48754,70418
143,Barrio Kroeger Lane,23551,40684
144,Palo Verde Park,55810,71821
145,Aldea Linda,57261,67102
146,St. Cyrils,37684,50275
147,Arcadia Rose,29991,45887
148,Saguaro Canyon,100590,124989
149,Barrio Nopal,34682,43513
150,Santiago Hills,64541,73799
151,Coronado Heights,15586,23047
152,Harold Bell Wright Estates,54668,74491
153,Carriage Park,36339,48309
154,Copper Vista,25829,35392
155,West Lamar City Acres,38082,51971
156,Loma Verde,43696,68083
157,Downtown,36471,42197
158,Barrio Santa Cruz,27188,43089
159,Bonanza,62571,75296
